category,query_group,query,best_rank,url,title,body_char_count,image_count,heading_count,quality_score,quality_eligible,fetch_verdict,collected_at
travel,europe,튀르키예 패키지여행 후기 일정,6,https://blog.naver.com/papertailor/224386587128,70대 부모님과 초등 아이와 튀르키예 7박9일 패키지여행 후기｜이스탄불·카파도키아·파묵칼레·에페소 일정 총정리,3727,25,12,95,True,strong_ok,2026-08-30T00:15:46+09:00
travel,europe,프랑스 파리 패키지여행 후기,6,https://blog.naver.com/enchanting_/224318162785,"[프랑스 여행] 몽생미셸 투어 후기, 2일차 파리에서 몽생미셸까지",4773,87,12,95,True,strong_ok,2026-08-30T00:15:47+09:00
travel,americas,미국 뉴욕 패키지여행 후기,6,https://blog.naver.com/lkm7289/224376639553,[칸쿤 미국 신혼여행] 뉴욕 칸쿤 일정과 비용 공유,2159,23,12,95,True,strong_ok,2026-08-30T00:15:47+09:00
travel,oceania,호주 시드니 패키지여행 후기,6,https://blog.naver.com/youso-5/224383105629,[✈️호주 패키지여행] 시드니 4박 6일 5탄 : 달링하버부터 해양 박물관·왓슨스베이·갭파크·본다이비치까지 알찬 하루,2453,41,12,95,True,strong_ok,2026-08-30T00:15:47+09:00
travel,pacific,괌 패키지여행 후기 일정,6,https://blog.naver.com/happy_hworld/224388776639,괌 가족여행 호시노 리조나레 리조트 에어텔 4박 5일 추천,1866,29,12,87,True,strong_ok,2026-08-30T00:15:48+09:00
travel,pacific,사이판 패키지여행 후기,6,https://blog.naver.com/tennislee-/224378432334,사이판 켄싱턴리조트 아이와 함께 다녀온 솔직 후기,1789,11,12,87,True,strong_ok,2026-08-30T00:15:48+09:00
travel,hongkong,홍콩 마카오 패키지여행 후기,6,https://blog.naver.com/lucas_travel/224388992586,홍콩 마카오 패키지 여행 3박4일 가격 경비 아시아나 노쇼핑 후기,1161,6,12,71,True,strong_ok,2026-08-30T00:15:48+09:00
travel,china,장가계 패키지여행 후기 일정,6,https://blog.naver.com/travelpop/224382434967,중국 장가계 여행 패키지 부모님 효도 해외여행 추천 후기,1448,2,12,73,True,strong_ok,2026-08-30T00:15:48+09:00
travel,canada,캐나다 패키지여행 후기 코스,6,https://blog.naver.com/dlthdud0123/224377263643,캐나다 여행 밴프투어 3박4일 2일차 아이스필드 설상차 밴프 곤돌라 다운타운,2037,73,12,95,True,strong_ok,2026-08-30T00:15:49+09:00
travel,cruise,크루즈 패키지여행 후기 일정,6,https://blog.naver.com/yully-/224373342601,미국 캐나다 패키지여행 Day 4 나이아가라 크루즈는 무조건! 최고의 가족해외여행 토론토로,2742,65,12,95,True,strong_ok,2026-08-30T00:15:49+09:00
